especie;altura estipite;altura total;tipologia;ug;barrio;distrito;Elemento;fecha  plantacion;marras;x;y;Crecimiento medio (m);media del est°pte (m);Altura media ambiente urbano (m);Varianza altura (m);varianza est°pite (m);desviacion estandar;CV
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240595.87;4142326.76;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240598.35;4142326.39;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240598.85;4142329.13;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240599.38;4142330.74;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240596.25;4142329.39;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240597.46;4142330.27;;;;;;;
Chamaerops humilis;1;2.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";;;240672.47;4142326.92;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240676.03;4142323.62;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240678.29;4142325.8;;;;;;;
Chamaerops humilis;;0.5;Parque Periurbano;Parque Infanta Elena;"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES";Este-Alcosa-Torreblanca;"Palmera Zona
Verde";"12/12/2018
12:00:00 AM";;240681.61;4142325.37;;;;;;;
